"","fplids"
"1136",8370532
"1137",6161281
"1138",2973005
"1139",514217
"1140",7366949
"1141",5644316
"1142",8083082
"1143",9085987
"1144",9590099
"1145",5259013
"1146",3922223
"1147",135545
"1148",670517
"1149",8167742
"1150",847454
"1151",2878244
"1152",7694549
"1153",641543
"1154",771910
"1155",7118544
"1156",1077417
"1157",438638
"1158",878351
"1159",972508
"1160",9055161
"1161",5709979
"1162",6268250
"1163",3866124
"1164",4449165
"1165",3774582
"1166",8039725
"1167",9128613
"1168",1248215
"1169",7932802
"1170",5987374
"1171",4518920
"1172",3258353
"1173",4760262
"1174",6591597
"1175",7343442
"1176",2738295
"1177",8757170
"1178",4567110
"1179",1430079
"1180",2261284
"1181",4084958
"1182",405965
"1183",832366
"1184",6414148
"1185",7136551
"1186",5216428
"1187",3045649
"1188",5969759
"1189",3253795
"1190",719859
"1191",1433557
"1192",1038536
"1193",6372503
"1194",5850658
"1195",1649070
"1196",3032187
"1197",2406454
"1198",3995675
"1199",8545828
"1200",3096485
"1201",8802991
"1202",4292417
"1203",4920760
"1204",8772648
"1205",2555245
"1206",6837518
"1207",1456624
"1208",5673295
"1209",4273958
"1210",4443842
"1211",4548964
"1212",1503561
"1213",7586332
"1214",857727
"1215",6115966
"1216",9662206
"1217",5739299
"1218",6541382
"1219",4589201
"1220",6952332
"1221",678841
"1222",5348269
"1223",570291
"1224",3809245
"1225",6785600
"1226",2335464
"1227",3307315
"1228",35292
"1229",3314073
"1230",569093
"1231",6427773
"1232",2904433
"1233",6090868
"1234",1335484
"1235",4445050
"1236",9803922
"1237",4318567
"1238",2093268
"1239",9342679
"1240",3073608
"1241",4578639
"1242",440190
"1243",2491082
"1244",5350411
"1245",2082677
"1246",49478
"1247",8509173
"1248",3292506
"1249",2925741
"1250",2518506
"1251",422447
"1252",7377494
"1253",5263784
"1254",1960926
"1255",1367393
"1256",8679244
"1257",3963018
"1258",1154100
"1259",4286181
"1260",198269
"1261",7812789
"1262",8482323
"1263",8343552
"1264",5798384
"1265",1523204
"1266",9583627
"1267",9280946
"1268",2890435
"1269",213966
"1270",734356
"1271",6639506
"1272",3550681
"1273",630790
"1274",9339161
"1275",5865620
"1276",1388374
"1277",7259337
"1278",3173152
"1279",4040187
"1280",9635298
"1281",8290224
"1282",9513376
"1283",8237649
"1284",7668271
"1285",9989136
"1286",8451917
"1287",4896459
"1288",3473835
"1289",966909
"1290",588250
"1291",8278098
"1292",2668609
"1293",2792580
"1294",4607656
"1295",7296106
"1296",1909217
"1297",8599967
"1298",7465186
"1299",231701
"1300",9951194
"1301",6209706
"1302",7684039
"1303",8247521
"1304",1357503
"1305",2809930
"1306",8326301
"1307",3794179
"1308",2827417
"1309",7026911
"1310",6693808
"1311",781510
"1312",2736278
"1313",4940809
"1314",4529915
"1315",8988636
"1316",4995232
"1317",1521117
"1318",1185983
"1319",5990556
"1320",5713689
"1321",9911969
"1322",6121317
"1323",6751368
"1324",481299
"1325",3810138
"1326",5713682
"1327",1588283
"1328",6573369
"1329",9838682
"1330",8801631
"1331",7737075
"1332",6339291
"1333",3448084
"1334",9890035
"1335",9666781
"1336",7665747
"1337",6708233
"1338",2132646
"1339",1158390
"1340",9960336
"1341",9710923
"1342",2093573
"1343",4660780
"1344",66031
"1345",2693844
"1346",2917046
"1347",5993165
"1348",7563612
"1349",2397793
"1350",7610042
"1351",3808189
"1352",2171941
"1353",5674737
"1354",4836048
"1355",4312933
"1356",2225697
"1357",1227514
"1358",7989171
"1359",1253407
"1360",5394306
"1361",803130
"1362",4120993
"1363",1929937
"1364",1722541
"1365",520005
"1366",583915
"1367",553
"1368",756632
"1369",466098
"1370",8775589
"1371",3673540
"1372",3761109
"1373",7713115
"1374",1104516
"1375",8162924
"1376",5353356
"1377",2262532
"1378",4932034
"1379",4515799
"1380",988887
"1381",3896117
"1382",7313074
"1383",7697010
"1384",6858744
"1385",2290368
"1386",2830446
"1387",7700548
"1388",4268957
"1389",1295654
"1390",5761040
"1391",3551675
"1392",9895487
"1393",4051489
"1394",5379371
"1395",7768205
"1396",3419015
"1397",5820473
"1398",8974304
"1399",8590974
"1400",7225861
"1401",1858343
"1402",1942925
"1403",3636303
"1404",1156950
"1405",4227984
"1406",5198235
"1407",1630233
"1408",9578547
"1409",7101310
"1410",1096215
"1411",7366235
"1412",7816632
"1413",1145770
"1414",8364315
"1415",2816840
"1416",7787502
"1417",2321234
"1418",641578
"1419",3846686
"1420",7204668
"1421",2181297
"1422",8364078
"1423",8749679
"1424",2842261
"1425",3933380
"1426",6553724
"1427",1110092
"1428",7353178
"1429",5033791
"1430",6007571
"1431",3731489
"1432",3178752
"1433",5344074
"1434",6149704
"1435",1544074
"1436",3403504
"1437",592062
"1438",2610082
"1439",1041466
"1440",9153039
"1441",701471
"1442",6607994
"1443",3220758
"1444",7283589
"1445",4203392
"1446",4056650
"1447",8307632
"1448",6826950
"1449",1029883
"1450",2980993
"1451",5111191
"1452",2963849
"1453",9339856
"1454",6494770
"1455",2708622
"1456",2592458
"1457",2065436
"1458",7336218
"1459",5118979
"1460",8727464
"1461",8723077
"1462",2609994
"1463",8939508
"1464",9501874
"1465",2030940
"1466",3935857
"1467",6572004
"1468",6007985
"1469",1993376
"1470",1158937
"1471",9263548
"1472",5740255
"1473",9212517
"1474",8168685
"1475",5823111
"1476",4625427
"1477",3585457
"1478",4900660
"1479",6744647
"1480",3107298
"1481",3202822
"1482",3019038
"1483",570803
"1484",2115290
"1485",1549815
"1486",6757948
"1487",8631863
"1488",9456933
"1489",607077
"1490",646284
"1491",4207903
"1492",5583882
"1493",8261676
"1494",5487236
"1495",5265639
"1496",4587963
"1497",2104063
"1498",1340141
"1499",4750675
"1500",2859320
"1501",2852227
"1502",5889523
"1503",9067398
"1504",8535024
"1505",7259213
"1506",6257170
"1507",5072265
"1508",8529966
"1509",3499636
"1510",4264265
"1511",2311470
"1512",2553385
"1513",4292689
"1514",6753837
"1515",6028532
"1516",4758798
"1517",7211121
"1518",2626723
"1519",3589383
"1520",1777019
"1521",3206629
"1522",2110335
"1523",9087052
"1524",5605667
"1525",6134723
"1526",1416890
"1527",8543712
"1528",197787
"1529",1500126
"1530",9313697
"1531",4209731
"1532",2893946
"1533",6134396
"1534",2792937
"1535",199362
"1536",187615
"1537",2924398
"1538",3538422
"1539",1218174
"1540",7600415
"1541",2052299
"1542",2957819
"1543",1669361
"1544",5499699
"1545",6153235
"1546",3838016
"1547",7579199
"1548",2866277
"1549",9127465
"1550",6745232
"1551",4679522
"1552",1628729
"1553",6098451
"1554",1888794
"1555",1909532
"1556",2417466
"1557",1178021
"1558",3052404
"1559",7344679
"1560",371444
"1561",39677
"1562",9375161
"1563",1677866
"1564",2368567
"1565",5913829
"1566",8863640
"1567",5964264
"1568",3905060
"1569",5350593
"1570",9762610
"1571",7462942
"1572",3693053
"1573",5039856
"1574",6093330
"1575",8333560
"1576",2659467
"1577",3276209
"1578",7989257
"1579",368896
"1580",5280734
"1581",605153
"1582",8859550
"1583",5421904
"1584",344356
"1585",3437760
"1586",6379174
"1587",5771926
"1588",4291444
"1589",1983817
"1590",6872419
"1591",6503944
"1592",6905779
"1593",5447398
"1594",2854677
"1595",8468492
"1596",2172789
"1597",747568
"1598",4336187
"1599",4679551
"1600",2345650
"1601",6974123
"1602",2865001
"1603",4602258
"1604",9672643
"1605",6383385
"1606",2419008
"1607",4580139
"1608",7242438
"1609",5342108
"1610",5254694
"1611",6786330
"1612",6907343
"1613",9900915
"1614",2601936
"1615",4319752
"1616",8662545
"1617",8677683
"1618",4281721
"1619",51087
"1620",1482770
"1621",5499103
"1622",8315356
"1623",2868045
"1624",6571930
"1625",6506684
"1626",2810546
"1627",510061
"1628",6507411
"1629",7726875
"1630",7336539
"1631",8076386
"1632",8859932
"1633",9902890
"1634",2588351
"1635",1958021
"1636",1179173
"1637",4142407
"1638",7470227
"1639",3618428
"1640",2228716
"1641",8960656
"1642",1010908
"1643",4665395
"1644",3926317
"1645",8666279
"1646",7186285
"1647",7443143
"1648",3955719
"1649",7006461
"1650",6466892
"1651",8493815
"1652",8955692
"1653",657289
"1654",4797568
"1655",1605253
"1656",9587334
"1657",8835599
"1658",25480
"1659",2988936
"1660",4558509
"1661",5256279
"1662",9241667
"1663",7221890
"1664",8634049
"1665",6408777
"1666",4588309
"1667",2468493
"1668",178779
"1669",4825582
"1670",2745847
"1671",9849548
"1672",5891988
"1673",4105993
"1674",4901548
"1675",9801403
"1676",1028735
"1677",8923002
"1678",3527605
"1679",3909243
"1680",1358998
"1681",2946785
"1682",4134942
"1683",7638022
"1684",5965452
"1685",9292855
"1686",6780930
"1687",1725137
"1688",2954424
"1689",3951441
"1690",7111308
"1691",956266
"1692",4051198
"1693",7665428
"1694",2346327
"1695",8586807
"1696",9013710
"1697",3098197
"1698",2248258
"1699",980631
"1700",2848399
"1701",6659386
"1702",3118711
"1703",3786026
"1704",4558476
"1705",42023
"1706",9292861
"1707",3558693
"1708",2096692
"1709",7359042
"1710",4944176
"1711",4448724
"1712",7240679
"1713",7821732
"1714",585068
"1715",3276156
"1716",6795196
"1717",4616612
"1718",9177458
"1719",450459
"1720",1018612
"1721",6088519
"1722",8793321
"1723",6195188
"1724",248968
"1725",9119795
"1726",8516639
"1727",4680456
"1728",2839105
"1729",1934206
"1730",9665649
"1731",2773206
"1732",2824662
"1733",830867
"1734",8492743
"1735",413745
"1736",8486437
"1737",1469959
"1738",3966616
"1739",6336506
"1740",1346632
"1741",5441401
"1742",4265066
"1743",9406176
"1744",7940779
"1745",2683440
"1746",3473598
"1747",8114545
"1748",7426012
"1749",4841085
"1750",1486650
"1751",2337238
"1752",8641230
"1753",6945941
"1754",8064366
"1755",2100208
"1756",3266620
"1757",3580815
"1758",3479615
"1759",5318891
"1760",9893065
"1761",1252589
"1762",5046625
"1763",6265478
"1764",29321
"1765",6508404
"1766",7716656
"1767",4572560
"1768",6491029
"1769",6236394
"1770",2594317
"1771",7159225
"1772",1168814
"1773",5788470
"1774",8277359
"1775",2863301
"1776",6612249
"1777",3459568
"1778",6558069
"1779",3368105
"1780",3560361
"1781",7747218
"1782",8397830
"1783",8977832
"1784",7139946
"1785",6449331
"1786",3367339
"1787",1665790
"1788",5314265
"1789",7577804
"1790",4997160
"1791",2909287
"1792",5540275
"1793",4628336
"1794",8962375
"1795",7233361
"1796",2135235
"1797",6985804
"1798",2459773
"1799",7622741
"1800",5020443
"1801",1585903
"1802",9485434
"1803",7453352
"1804",5511046
"1805",8364749
"1806",2229600
"1807",660029
"1808",5109827
"1809",7109465
"1810",7996024
"1811",8009919
"1812",6443890
"1813",8278951
"1814",2522201
"1815",8594884
"1816",3841397
"1817",9388010
"1818",5885522
"1819",3148627
"1820",304595
"1821",4752262
"1822",4412068
"1823",9564443
"1824",9114447
"1825",2539988
"1826",1304184
"1827",162343
"1828",346266
"1829",9245522
"1830",7780719
"1831",2889224
"1832",329396
"1833",5203010
"1834",6165063
"1835",3332783
"1836",2821780
"1837",2970258
"1838",6213167
"1839",3650777
"1840",3019398
"1841",6912376
"1842",7693573
"1843",8110382
"1844",8283493
"1845",6972594
"1846",7869531
"1847",6880589
"1848",4755598
"1849",716779
"1850",7491405
"1851",429299
"1852",5839317
"1853",159348
"1854",7406750
"1855",590832
"1856",6660038
"1857",5241908
"1858",7779118
"1859",9924561
"1860",2408943
"1861",1755845
"1862",3993534
"1863",9806462
"1864",9431610
"1865",940596
"1866",942550
"1867",1075097
"1868",5155282
"1869",6785878
"1870",107807
"1871",6074529
"1872",6176275
"1873",6323446
"1874",1389123
"1875",5827618
"1876",8232167
"1877",9962041
"1878",7922616
"1879",703003
"1880",9950251
"1881",9540362
"1882",5134502
"1883",6388183
"1884",2409860
"1885",4949059
"1886",953118
"1887",1871324
"1888",5567840
"1889",7235669
"1890",5687687
"1891",3194450
"1892",588739
"1893",5937400
"1894",8706421
"1895",9221684
"1896",821036
